press1,press2,press3,press4
0,0.5052256548884954,0.4860830443624765,1
0,0.33910547384161843,0.4416041352080442,1
0,0.038987171916541746,0.3364856580169464,1
0,0.550909494882764,0.49843333301871623,1
0,0.11322200745453398,1.123154507225365,1
0,0.07809884449740626,1.0500861748508175,1
0,-0.11177352568401365,1.0275062404467854,1
0,-0.014974435604165892,1.1203658651247717,1
0,0.5338032534271931,0.5171334073763573,1
0,0.029864966250649577,0.42149775082740276,1
0,0.45067613704138754,0.47085997329222334,1
0,0.4033873359788904,0.80506570586159,1
0,0.41140871616264396,0.4271138054741939,1
0,-0.0023102238559900568,0.16135330599189868,1
0,-0.013506427921201242,0.3439919023863856,1
0,-0.08624348746280279,0.9870894973424258,1
0,0.40472123273915195,0.7318846543725713,1
0,-0.1182031902142455,0.8694109841621961,1
0,0.09228462629778988,0.467250987958567,1
0,0.4176351605327785,0.4443470095665907,1
0,0.47020907293229053,0.8847068613639804,1
0,0.530243948840598,0.5167668340291981,1
0,0.4993689414676231,0.48785332365584083,1
0,0.3069895170901199,0.42916245072734327,1
0,-0.1400888659536455,0.9556698332230943,1
0,0.10026616079934625,0.1860012997754374,1
0,0.049383351707179224,1.0750095795300187,1
0,-0.07346534294273889,0.981357231137239,1
0,0.31698003830966087,0.41874487210720956,1
0,-0.001710987816131021,1.0628525569993204,1
0,0.2967970817976296,0.47744950282474463,1
0,0.4470539614738648,1.0773378218971321,1
0,0.418539039346383,0.8804741533313422,1
0,0.10390895452393739,0.949840687622566,1
0,0.48615797213107137,0.4857654174110096,1
0,0.7614075047622775,0.8661253327332762,1
0,0.5113857690579992,0.57104606216529,1
0,0.08919404617172356,0.9424208648613487,1
0,0.820382850283166,0.8681690537946621,1
0,0.059832664905599305,0.8291860134905001,1
0,0.6853004048966523,0.7074222591214417,1
0,0.5235938688526244,0.8212092492047731,1
0,0.06449389726190685,0.3384872399846216,1
0,0.9811449942509469,0.9816098515029565,1
0,0.49240482197985047,0.8616169291759386,1
0,0.0020386443722075526,0.3857216357587762,1
0,0.04653856985208079,0.4804493432781833,1
0,0.0710141784037834,0.39451507124918406,1
0,0.9178569613515379,0.9910727411731057,1
0,0.8735139589503109,0.8803512904844086,1
